,Acura,Audi,Bentley,BMW,Buick,Cadillac,Chevrolet,Chrysler,Dodge,Fiat,Ford,GMC,Honda,Hummer,Hyundai,Infiniti,Isuzue,Jaguar,Jeep,Kia,Lamborghini,Land.Rover,Lexus,Lincoln,Maserati,Mazda,Mercedes.Benz,Mercury,Mini,Mitsubishi,Nissan,Pontiac,Porsche,Ram,Rolls-Royce,Saab,Saturn,Smart,Subaru,Suzuki,Toyota,Volkswagen,Volvo,Dates,Number.of.Days.sold
23,15920,8788,NA,26689,17087,17380,220870,53157,103366,0,212572,48336,129447,4636,43885,10748,1271,1379,42870,28494,NA,4269,31847,13880,NA,26788,21771,18178,4130,13651,82314,36325,3348,0,NA,2872,26905,0,16282,10190,237176,22325,9192,5/1/07,26
24,16766,7789,NA,25220,16519,16647,186474,47658,91089,0,204303,40457,124169,5093,49368,10558,1380,1410,44600,26288,NA,4160,28869,12494,NA,25761,19589,15660,4174,13014,81655,33683,3267,0,NA,4361,21686,0,17108,10325,216870,23137,9572,6/1/07,27
25,14381,7127,NA,24295,16654,17412,183103,34631,65742,0,160590,44060,126668,4895,43511,9526,1173,1136,37355,26690,NA,4189,27141,8929,NA,25853,18586,10852,4069,10347,78351,30023,3230,0,NA,3247,20368,0,15438,7943,196917,19653,9549,7/1/07,24
26,16436,7620,NA,26562,19324,19481,229012,43650,82841,0,180282,51222,141906,5677,45087,10252,0,1359,41712,26874,NA,4853,32199,10423,NA,24762,20980,12296,4077,13020,85275,39324,2548,0,NA,3011,21117,0,16573,8916,201272,21655,9119,8/1/07,27
27,14369,8020,NA,20901,17754,20398,194637,38668,83671,0,155037,44754,112831,5080,33214,10250,0,880,37460,24087,NA,2226,25113,9764,NA,25098,22459,11403,4031,12102,84019,31817,2641,0,NA,2424,20776,0,16457,7653,187929,18891,8408,9/1/07,25
28,12886,7420,NA,23451,14231,21267,179825,40440,73020,0,159361,44456,101913,3864,30232,9954,0,1030,31856,25185,NA,4237,25119,10229,NA,22201,22820,12844,3370,9280,74992,25182,2862,0,NA,2275,18908,0,14979,6536,172473,17260,7761,10/1/07,26
29,12910,9104,NA,23808,13245,17041,151642,45510,80670,0,147310,34549,98521,4029,31883,10604,0,1114,34908,24177,NA,4352,24848,8744,NA,20580,22819,13204,3177,7983,70079,26040,2662,0,NA,2003,15105,0,14868,5987,172341,17689,8227,11/1/07,25
30,17582,8502,NA,30199,14400,21436,185626,48384,92235,0,173648,45503,114210,5333,46487,12655,0,1522,44804,24068,NA,4887,34555,10065,NA,24933,27301,12631,3562,5904,76900,30211,2891,0,NA,2748,18196,0,18739,7361,189844,20543,9341,12/1/07,26
31,11168,6418,NA,14475,12749,14792,149548,34372,69884,0,131074,32270,87343,3050,21452,8644,0,664,33136,21355,NA,2859,20299,7985,NA,21212,18275,9296,2460,7226,67961,23025,2595,0,NA,1772,15359,0,11289,7120,151550,14411,8036,1/1/08,25
32,13084,6152,NA,20775,12768,14420,166166,41709,76141,0,164915,33237,102313,3362,31090,10068,0,1063,32243,21988,NA,2819,21277,9573,NA,23548,18564,10806,3415,9105,76151,23935,1715,0,NA,1734,14801,0,12907,8800,160892,16556,7505,2/1/08,25
33,13288,7987,NA,23115,12317,17453,164564,40539,85906,0,187828,38422,125446,3451,42796,13821,0,1752,39941,24871,NA,3054,24939,10913,NA,32929,20808,14333,4289,10750,93100,25417,2624,0,NA,2962,18146,0,16685,10510,192791,19587,9263,3/1/08,28
34,13025,7730,NA,26735,12665,14359,157187,30670,83348,0,165997,31854,122155,2380,39280,9537,0,1785,33733,30066,NA,2557,23350,10340,NA,23760,20271,12910,4713,8878,66318,24009,3099,0,NA,1580,16888,0,16771,9669,194350,19415,7138,4/1/08,26
35,14893,8534,NA,25469,11033,13348,167202,32776,80130,0,184402,30724,153104,1843,46415,10495,0,1757,35841,31047,NA,3003,26593,8365,NA,27921,24480,13593,6312,10430,90379,27966,2796,0,NA,2148,18099,0,18436,10364,230811,22346,7238,5/1/08,27
36,12456,8203,NA,20944,9631,14337,159998,27128,63687,0,145715,30713,130083,2072,50033,9304,0,1360,26642,28292,NA,2200,20253,9718,NA,23771,19576,11657,5211,7494,66543,28402,2650,0,NA,1872,18912,0,18007,9785,172981,23208,7001,6/1/08,24
37,12828,6804,NA,23914,10013,13022,137823,20858,54546,0,138175,27447,125916,1877,40703,9249,0,785,22705,28021,NA,1822,22182,8819,NA,22418,20733,9412,5063,9644,86070,25373,3128,0,NA,2026,17603,0,16271,8103,175242,20422,5124,7/1/08,26
38,15089,6406,NA,25462,17833,15405,185080,24337,62422,0,133088,42194,131766,2160,41130,11076,0,1000,23476,25065,NA,2100,29281,9540,NA,23680,18507,8393,5469,9200,97417,24257,1404,0,NA,1503,20385,0,18932,6083,182252,22292,4669,8/1/08,27
39,9997,7584,NA,14744,14121,12432,172803,23346,62572,0,102685,39029,86629,2298,24765,7779,0,810,21431,17383,NA,2622,16045,7571,NA,16169,18779,6478,3762,7378,51786,23324,1458,0,NA,1765,18528,0,14491,4083,128215,17109,4054,9/1/08,24
40,10108,7443,NA,20203,7642,9541,107313,19903,53267,0,114969,21109,75756,1368,20820,7112,0,650,21360,15483,NA,2200,16283,7399,NA,16442,14996,6753,5272,7486,49833,13054,1427,0,NA,1975,8583,0,12917,3482,135818,15889,3717,10/1/08,27
41,7888,6788,NA,15217,7516,8815,95756,20017,26404,0,103055,20214,68345,1454,19221,7631,0,910,20302,15182,NA,2310,16223,8019,NA,14134,14102,7744,4545,5096,38974,12140,1378,0,NA,852,8130,2236,13706,3216,114084,14295,4404,11/1/08,25
42,10680,7712,NA,18060,8909,13235,137691,19453,47269,0,116188,29783,75405,2170,24037,8272,0,1100,23091,14644,NA,2346,23362,9053,NA,17965,18507,8873,3566,4570,53829,16446,2154,0,NA,1179,32365,2341,17287,7361,118587,17577,4953,12/1/08,26
43,7856,4722,NA,12232,6969,8499,77186,10685,19853,0,79322,19120,63175,1222,24512,7115,0,781,16834,22096,NA,1876,14722,6091,NA,15420,10433,5183,2082,4730,46769,9104,1658,14785,NA,955,6172,1776,12194,3655,102565,12744,2910,1/1/09,26
44,7659,4653,NA,12979,6196,7038,75555,15519,30430,0,84422,16204,63916,1053,30621,6359,0,791,21941,22073,NA,1723,13108,5633,NA,16401,14199,5989,2826,4484,47890,14200,1518,16160,NA,712,6338,1415,13089,3495,96475,13660,3356,2/1/09,24
45,9005,6433,NA,17520,7369,8209,94704,19502,36401,0,109490,19086,79374,831,40721,7242,0,1174,23771,24724,NA,2248,14239,7310,NA,21974,15602,8307,3605,4620,59392,17583,1749,21327,NA,1265,7333,1746,16249,7981,118563,15720,6358,3/1/09,25
46,8813,7010,NA,15705,8928,8337,20467,13874,24070,0,116263,20467,92216,913,33952,4932,0,1281,19670,25606,NA,2043,14195,5973,NA,16139,14565,7662,3657,3919,42258,10838,1853,19068,NA,892,7367,1345,15649,2543,112345,16289,4503,4/1/09,26
47,9469,7503,NA,18383,9160,8027,127510,15987,24456,0,137167,23926,88875,1094,36937,6496,0,1168,21624,26060,NA,2223,16922,8566,NA,16718,15134,10221,4610,4352,60993,13329,1979,16943,NA,783,8046,1169,17505,2585,135661,19568,5577,5/1/09,26
48,8280,7524,NA,16744,8601,8473,106712,13753,22180,0,133684,19668,92140,1078,37943,6304,0,936,16608,26845,NA,1939,16874,7137,NA,13729,15155,7332,4105,4362,51994,23740,902,15728,NA,779,7520,1116,18620,2152,114780,19027,7042,6/1/09,25
49,8662,6407,NA,16381,7099,6171,124948,16549,30917,0,142135,21860,106028,799,45553,7096,0,785,22276,29345,NA,1822,18517,6672,NA,19032,16228,10031,4872,4487,64751,22024,1544,19158,NA,574,5968,1418,21839,3510,156355,20591,6441,7/1/09,26
50,9625,8057,NA,19232,8612,6931,168130,18619,32878,0,161369,23145,151814,777,60467,7732,0,875,22041,40198,NA,2285,22892,5874,NA,26542,17112,9080,5111,6813,97580,29921,1526,19684,NA,484,8479,1622,28683,5751,202196,24823,5826,8/1/09,26
51,7259,7209,NA,15047,9455,11339,102538,9046,21215,0,98516,18359,69970,426,31511,6610,0,880,17287,21623,NA,2226,17939,5980,NA,14234,16985,5443,4128,4712,48783,11079,1581,14649,NA,484,2993,814,14593,1858,108076,17358,4716,9/1/09,25
52,9751,7358,NA,16443,9053,11602,116436,12815,26265,0,119072,25423,75751,307,31005,6451,0,882,13500,22490,NA,2160,19502,6735,NA,15068,18193,6676,4176,3867,53664,10646,1642,13223,NA,513,3623,661,18169,1745,132663,17037,4437,10/1/09,28
53,8769,6810,NA,15708,8627,9721,100023,12544,24268,0,105133,21301,65234,221,28045,5644,0,1153,15339,17955,NA,2166,18500,6409,NA,14255,16797,6994,2564,2925,50644,7426,1626,11409,NA,371,3737,661,16988,1540,115200,16250,4631,11/1/09,23
54,10575,9030,NA,20128,12237,14745,135622,18122,47591,0,159169,31220,96568,325,33797,9108,0,1246,20810,21048,NA,3595,28565,10467,NA,18255,20025,9381,3489,4355,64296,8410,2118,12978,NA,868,5084,864,23074,1885,159295,20387,5638,12/1/09,28
55,7132,6510,NA,13163,10061,8440,105294,10443,19953,0,99888,21303,60347,265,30503,6711,0,631,15715,22123,NA,1958,15517,7036,NA,15694,15158,5482,2247,4170,55861,389,1786,11032,NA,511,562,278,15611,2040,83279,18019,4128,1/1/10,24
56,8939,6216,NA,15100,9121,9273,99999,16925,32975,0,123507,20456,71732,296,34004,7041,0,761,23339,24052,NA,2032,13787,6681,NA,17054,14870,7456,2871,4019,63148,84,1531,11210,NA,97,2625,442,18098,1375,86240,18116,4641,2/1/10,24
57,11722,8589,NA,18060,12954,11639,133165,19780,29506,0,159367,27648,96540,294,47002,9942,0,983,24393,30522,NA,2726,20219,8693,NA,23193,20023,10486,3610,5434,85526,109,1905,18944,NA,133,2737,677,23785,2246,166644,22148,5237,3/1/10,26
58,10719,9319,NA,17268,12181,11317,135369,22386,38795,0,146589,24224,102978,481,44023,7211,0,896,19645,30036,NA,2749,18359,7279,NA,18935,17628,9128,3843,3932,56558,52,1747,14877,NA,215,373,680,23198,1950,139080,23135,4546,4/1/10,26
59,11766,9205,NA,17859,12582,12382,167235,20699,42242,0,175370,30160,105407,1290,49045,8091,0,962,22948,31431,NA,2709,22216,7755,NA,22605,19176,9128,4233,4737,75673,181,1873,18930,NA,174,46,695,23667,1903,140597,23543,4659,5/1/10,26
60,10839,8601,NA,19182,13133,11788,141381,17893,36996,0,155332,28526,95788,303,51205,8304,0,1618,20731,31906,NA,2790,17332,6318,NA,18238,18997,9250,4149,4198,56266,112,2141,16862,NA,216,137,577,21601,2035,123272,21051,4995,6/1/10,25
61,13017,7817,NA,19064,16799,14919,139916,14692,30916,0,153603,27798,99420,210,54106,9764,0,1516,26466,35419,NA,2292,18595,5586,NA,20732,17367,6903,4326,5648,72573,20,2703,21239,NA,0,30,560,23983,1952,150629,23880,4319,7/1/10,27
62,11534,9182,NA,19540,14294,12689,131952,17937,35364,0,144035,25986,97195,205,53603,9428,0,1414,25706,32465,NA,2544,19465,6428,NA,19739,18826,7040,4425,4293,67399,7,2032,20604,NA,290,43,448,22239,1830,128923,22855,4441,8/1/10,25
63,10720,8151,NA,18228,12875,12620,121479,17348,36272,0,147057,25995,86641,163,46556,8305,0,967,28603,30071,NA,2489,16948,7510,NA,18580,20666,6306,4884,4961,65900,8,1971,17854,NA,1046,15,422,21432,1641,130214,19943,4152,9/1/10,25
64,11011,8128,NA,19272,12569,13393,124294,16547,27020,0,143624,33136,87800,242,42656,7930,0,1295,28480,31199,NA,2958,21091,6834,NA,18013,19076,7477,3950,5111,61843,83,2647,18090,NA,741,42,367,22720,2043,124383,20084,3996,10/1/10,27
65,10718,9365,NA,20097,11725,11801,117588,9664,21246,0,133544,27590,78899,0,40723,8182,0,1117,24202,26601,NA,2922,18240,7648,NA,15304,18208,0,2786,4306,63184,0,2416,19040,NA,397,0,211,20792,2332,111077,20189,4078,11/1/10,24
66,15489,10546,NA,23280,17095,16718,147960,13132,32390,0,174523,42159,114127,0,44802,12502,0,1180,30910,30444,NA,3695,27560,8060,NA,21479,21469,0,4320,4874,81228,0,2567,24270,NA,1074,0,570,26694,2647,149928,23867,4756,12/1/10,27
67,7961,7812,NA,15905,13269,12580,125389,9705,24314,0,121511,27658,68308,0,37214,7405,0,935,23079,27789,NA,2271,12860,5558,NA,14267,17273,0,2751,5714,64442,0,2400,13020,NA,658,0,358,18858,2562,102996,18401,4276,1/1/11,24
68,10796,7753,NA,16416,15807,15768,142929,12628,33561,0,150678,32534,87263,0,43533,9144,0,629,28619,32806,NA,2555,13814,5948,NA,19387,16176,0,3503,6893,83226,0,2019,20294,NA,0,0,484,21683,1643,128032,21462,4795,2/1/11,24
69,12611,9818,NA,20295,15663,12164,148197,20463,44102,500,204276,30597,121039,0,61873,11287,0,874,33155,44179,NA,3441,20682,8501,NA,30905,22546,0,6087,7560,109854,0,2588,23510,NA,0,0,425,26916,2497,155540,27176,6369,3/1/11,27
70,11604,10018,NA,18801,18413,13127,169794,20379,44320,882,182542,31204,113195,0,61754,6761,0,1249,32384,47074,NA,2982,17576,7326,NA,20638,19157,0,6446,8081,64765,0,3172,19260,NA,0,0,NA,24762,2132,141964,28542,6404,4/1/11,27
71,9000,10457,NA,20651,15579,11623,161401,16364,40200,1759,184703,32589,81773,0,59214,6389,0,1271,35573,48212,NA,2891,12305,7399,NA,17875,20306,0,5801,7568,69759,0,2817,21467,NA,0,0,492,20036,2290,96082,30100,7359,5/1/11,24
72,8708,10051,NA,21637,14868,10860,156848,16529,43401,1803,186753,32782,75184,0,59209,6282,0,1389,36114,45044,NA,3152,10773,7361,NA,19307,20652,0,5228,8299,65659,0,2546,22547,NA,0,0,NA,19794,2278,100164,28444,7100,6/1/11,26
73,9402,9146,NA,21409,16873,11119,149005,15427,33653,3038,173051,37918,71100,0,59561,7410,0,984,38691,45504,NA,2811,14539,7814,NA,20783,19006,0,4711,7972,77191,0,2768,21217,NA,0,0,327,21730,2447,116263,29066,5595,7/1/11,26
74,9054,10201,NA,20815,16021,13208,152779,22497,41818,3106,167214,36471,73267,0,58505,9024,0,810,40613,41188,NA,2807,18103,8006,NA,22632,20323,0,3109,6960,82517,0,2184,22086,NA,0,0,405,20837,2409,111380,25232,5215,8/1/11,26
75,10010,9725,NA,21750,13599,12741,147611,23559,40075,2773,168181,33194,79522,0,52051,8479,0,1111,35565,35609,NA,2740,14995,7018,NA,25521,21649,0,3999,5803,84485,0,2170,25364,NA,0,0,469,20394,2026,106456,27036,5042,9/1/11,25
76,11115,10225,NA,21873,11687,11795,131804,21244,33734,1965,161709,31609,87218,0,52402,6862,0,909,35733,37690,NA,3886,18092,6094,NA,18326,24120,0,5415,4378,75484,0,2270,21836,NA,0,0,327,20081,1947,115954,28029,4899,10/1/11,26
77,9909,9700,NA,21521,10880,11145,128907,18577,30317,1618,160560,29470,74016,0,49610,8428,0,915,36246,37007,NA,3820,19458,6305,NA,18432,26796,0,4750,3735,76754,0,2255,20414,NA,0,0,414,17657,1822,118502,28412,4844,11/1/11,25
78,13129,12655,NA,26700,14974,16259,161158,23974,41548,2325,201737,41960,92101,0,50765,10990,0,1137,43577,43390,NA,4743,25355,8403,NA,22353,27100,0,5500,5032,89937,0,1834,26595,NA,0,0,700,33701,2566,152776,32502,5342,12/1/11,27
79,8381,9354,NA,16405,10208,8924,123864,17604,31454,1911,131589,24966,74628,0,42694,6796,0,985,31710,35517,NA,3205,12274,5121,NA,23996,21230,0,3334,4711,72517,0,2550,18470,NA,0,0,496,22807,1505,112266,27209,4461,1/1/12,24
80,11258,8531,NA,21204,14023,11505,151197,27008,42692,3227,172207,32581,98899,0,51151,9239,0,1022,37312,45038,NA,3255,16678,6912,NA,25651,18910,0,4980,4736,97492,0,2149,23282,NA,0,0,769,25374,2425,142745,30577,5263,2/1/12,25
81,11166,11585,NA,23940,13105,10537,173073,34726,52076,3712,214615,34337,115833,0,69728,10185,0,1321,45124,57505,NA,4199,20140,8803,NA,32376,23134,0,5866,7160,126132,0,2460,27743,NA,0,0,999,32387,2631,183142,36588,6693,3/1/12,28
82,12175,11521,NA,21062,15446,9851,155487,31879,45248,3849,174042,32603,109837,0,62264,7129,0,1073,38684,47550,NA,3292,17551,6308,NA,21506,24302,0,5731,5280,64200,0,3437,21505,NA,0,0,764,26310,1774,160493,37525,4848,4/1/12,24
83,14586,11503,NA,22168,18565,9871,177943,29674,45793,4003,208993,38877,119411,0,67019,10592,0,1075,44198,51771,NA,3438,21463,7274,NA,20357,24556,0,6153,5575,81202,0,2852,26373,NA,0,0,703,29724,2360,181510,38657,6246,5/1/12,26
84,15370,12664,NA,21725,18851,12124,180098,26863,44315,4004,200215,37677,109438,0,63813,10436,0,1030,44519,51326,NA,3602,20022,7544,NA,19911,22231,0,5995,5411,81801,0,3002,25110,NA,0,0,1017,27702,2299,157773,38170,7107,6/1/12,27
85,12825,11707,NA,21297,14391,13417,138942,20792,35630,3710,166991,34487,104119,0,62021,11619,0,1011,41559,48074,NA,3320,18235,6975,NA,19318,19311,0,5855,4194,86722,0,2803,24398,NA,0,0,780,25183,2266,146663,37014,5717,7/1/12,24
86,15646,11527,NA,16835,18000,14704,169978,28070,47348,4150,189108,37838,115675,0,61099,11155,0,1029,42839,50028,NA,3727,24237,8141,NA,22234,22686,0,5718,4249,87360,0,3026,26065,NA,0,0,753,28293,1968,164283,41011,6323,8/1/12,27
87,14366,12302,NA,21761,14673,12579,149801,24850,47356,4176,168174,33192,102845,0,60025,9445,0,1004,39245,48105,NA,3636,20386,6802,NA,24135,23156,0,4899,4806,82462,0,2736,26414,NA,0,0,1030,27683,1921,151524,36339,4977,9/1/12,25
88,12163,11708,NA,26451,13384,13505,135305,22222,40611,3720,163302,33570,94810,0,50271,8757,0,699,34023,42452,NA,3129,19850,5154,NA,18622,25644,0,5888,3981,70928,0,3211,25609,NA,0,0,998,26119,2023,135392,34311,4200,10/1/12,26
89,12246,12067,NA,31213,13289,14517,128867,18766,40075,3603,171941,29832,104334,0,53487,11897,0,713,35047,41055,NA,3687,22719,5732,NA,21691,31945,0,5248,3574,84300,0,3865,25074,NA,0,0,704,28206,2224,138976,36728,6141,11/1/12,25
90,16034,14841,NA,37399,16473,18248,167091,25513,52391,3707,206838,43921,116740,0,59435,12627,0,1049,39871,39178,NA,5174,30607,7384,NA,27251,30376,0,6456,4113,86663,0,2952,30885,NA,0,0,996,36653,1946,163536,44005,6150,12/1/12,26
91,9489,10056,NA,16513,13463,13116,137304,20696,43227,2503,162310,30816,84137,0,43713,7126,0,1029,30318,36302,NA,4200,16211,4191,NA,21319,23578,0,3682,4659,73793,0,3358,20987,NA,0,0,481,27663,1488,141514,29018,4875,1/1/13,25
92,11364,10877,NA,21311,16150,13845,158541,25083,55639,3302,190939,35778,96623,0,52311,9147,0,1148,31164,41505,NA,3905,17339,4883,NA,24936,23268,0,4302,6051,90489,0,2805,23827,NA,0,0,783,28163,1250,149038,31456,4867,2/1/13,24
93,14100,13253,NA,27078,18007,15751,173859,33905,59885,3807,229335,38333,121938,0,68306,11103,0,1408,39469,49125,NA,4314,23190,6825,NA,32028,26175,0,6071,5286,126623,0,3487,34540,NA,0,0,929,36701,2696,182152,37704,5365,3/1/13,27
94,13899,13157,NA,23225,17157,13230,172460,27836,53413,3899,204969,34799,117100,0,63315,7844,0,1141,39426,47556,NA,3543,18091,7615,NA,19894,25490,0,5786,4461,80003,0,4032,32124,NA,0,0,667,32943,0,158069,33644,4464,4/1/13,25
95,14364,13228,NA,25230,17982,13808,179510,29070,56407,4051,239280,41594,125649,0,68358,7899,0,1435,44419,52327,NA,3554,22229,7305,NA,24270,25561,0,5944,4715,106558,0,3928,32649,NA,0,0,818,39892,0,185723,38013,6329,5/1/13,26
96,13765,13706,NA,27074,18078,13929,193460,27249,49843,4050,228174,39276,123150,0,65007,9114,0,1637,44609,50536,NA,3468,21355,7469,NA,22496,26381,0,6571,5297,95010,0,3700,30935,NA,0,0,781,39235,0,173880,36957,6678,6/1/13,26
97,15150,13064,NA,24043,16393,15652,162670,19978,41986,3783,186796,39356,126289,0,66005,7762,0,1613,42227,49004,NA,4050,23031,6919,NA,24977,25563,0,5950,5230,101279,0,3820,32078,NA,0,0,860,35994,0,170363,35779,5909,7/1/13,25
98,17051,14005,NA,24523,24650,20255,187740,28678,52858,4190,213078,43202,149381,0,66101,11884,0,1723,46239,52025,46,4938,29792,8192,326,28106,26151,0,6023,5281,108614,NA,3327,33587,84,0,0,993,41061,0,201745,40342,5519,8/1/13,28
99,11648,13065,253,23568,15623,13828,127785,25251,48576,3157,178693,29959,93915,0,55102,9040,0,1313,37464,38003,NA,3387,19522,6453,379,22464,26849,0,5306,4001,77828,NA,3093,28569,84,0,0,625,31755,0,144935,31920,4188,9/1/13,23
100,14296,13000,340,27574,17555,14792,155214,23452,45314,3674,184854,38841,100242,0,53555,9152,0,1515,36379,39754,46,4286,22719,7131,623,19738,32107,0,5700,4972,81866,NA,3562,31264,84,0,0,513,34483,0,146257,28129,3919,10/1/13,27
101,14559,13636,NA,31752,15072,16172,145089,21024,41506,3075,183722,35727,101948,0,56005,13152,0,1446,45415,45411,46,4601,25611,6727,910,20754,36386,0,4575,6071,93376,NA,3966,31255,NA,0,0,959,36621,0,152433,30727,4233,11/1/13,26
